"individuo";"idade";"genero";"grau_de_instrucao";"quantidade_de_filhos";"salario"
1;33;"F";"Ensino_medio";1;0.28
2;39;"F";"Ensino_medio";0;4.79
3;37;"F";"Ensino_medio";0;1.48
4;38;"M";"Ensino_medio";1;5.37
5;41;"M";"Ensino_medio";1;6.53
6;40;"F";"Graduacao";0;5.57
7;40;"M";"Ensino_medio";1;7.11
8;38;"F";"Ensino_medio";3;1.33
9;39;"F";"Pos_graduacao";0;4.61
10;42;"F";"Ensino_medio";1;2.58
11;41;"F";"Ensino_medio";3;1.41
12;41;"M";"Ensino_medio";2;5.46
13;43;"M";"Graduacao";0;9.6
14;42;"M";"Ensino_medio";3;7.57
15;38;"F";"Ensino_medio";0;4.28
16;38;"F";"Ensino_medio";0;1.71
17;41;"F";"Ensino_medio";1;2.33
18;43;"F";"Graduacao";0;4.68
19;43;"F";"Pos_graduacao";0;7.71
20;37;"F";"Ensino_medio";1;2.04
21;47;"F";"Pos_graduacao";0;9.26
22;43;"F";"Pos_graduacao";0;10.34
23;40;"F";"Ensino_medio";3;0.22
24;37;"M";"Graduacao";0;6.62
25;38;"F";"Graduacao";0;3.89
26;44;"F";"Pos_graduacao";0;9.28
27;43;"M";"Ensino_medio";3;3.52
28;43;"F";"Pos_graduacao";0;9.41
29;45;"F";"Graduacao";3;2.41
30;35;"F";"Ensino_medio";0;2.12
